References	Qty	Description	Manufacturer	MPN	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell
555 DIP	1	Either LM555 or NE555	Texas Instruments	LM555CN/NOPB		LM555CNNS/NOPB-ND	LM555CNNS/NOPB-ND	926LM555CN/NOPB			
1k	1	1/4W 5% or SMD1206		CF14JT1K00		CF14JT1K00CT-ND	CF14JT1K00CT-ND				
10uF capacitor 16V	2	Through Hole or SMD1206	Panasonic	ECA-1CM100I		P19513CT-ND	P19513CT-ND	667ECA1CM100I			
TRIMMER-3362P 100K	1		Nidec Copal Electronics	CT6EP104		CT6EP104-ND	CT6EP104-ND				
CON-USB-F	1		Amphenol FCI	10118192-0001LF		609-4613-1-ND	609-4613-1-ND				
LED 3MM	1	Any colour, experiment with different colour!	EVERLIGHT	204-10UYC/S530-A3			204-10UYC/S530-A3-ND	63820410UYCS530A3			
BUZZER 3.3V	1		TDK Corporatopm	PS1720P02		445-2527-ND	445-2527-ND	810PS1720P02			
2.2K	1	1/4W 5% or SMD1206									
